20-32C AIRFOIL

1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 1.600000000000000077e-03
9.499999999999999556e-01 1.239999999999999956e-02
9.000000000000000222e-01 2.290000000000000022e-02
8.000000000000000444e-01 4.279999999999999777e-02
6.999999999999999556e-01 6.099999999999999867e-02
5.999999999999999778e-01 7.710000000000000187e-02
5.000000000000000000e-01 9.049999999999999711e-02
4.000000000000000222e-01 1.001999999999999974e-01
2.999999999999999889e-01 1.048000000000000043e-01
2.500000000000000000e-01 1.044000000000000067e-01
2.000000000000000111e-01 1.013000000000000012e-01
1.499999999999999944e-01 9.339999999999999691e-02
1.000000000000000056e-01 7.799999999999999989e-02
7.499999999999999722e-02 6.640000000000000069e-02
5.000000000000000278e-02 5.129999999999999838e-02
2.500000000000000139e-02 3.169999999999999901e-02
1.250000000000000069e-02 1.930000000000000118e-02
0.000000000000000000e+00 0.000000000000000000e+00
1.250000000000000069e-02 -5.000000000000000104e-03
2.500000000000000139e-02 -4.199999999999999740e-03
5.000000000000000278e-02 -1.000000000000000021e-03
7.499999999999999722e-02 2.799999999999999972e-03
1.000000000000000056e-01 6.799999999999999621e-03
1.499999999999999944e-01 1.450000000000000074e-02
2.000000000000000111e-01 2.170000000000000054e-02
2.500000000000000000e-01 2.819999999999999937e-02
2.999999999999999889e-01 3.330000000000000321e-02
4.000000000000000222e-01 3.849999999999999950e-02
5.000000000000000000e-01 3.860000000000000236e-02
5.999999999999999778e-01 3.500000000000000333e-02
6.999999999999999556e-01 2.860000000000000042e-02
8.000000000000000444e-01 2.019999999999999921e-02
9.000000000000000222e-01 1.000000000000000021e-02
9.499999999999999556e-01 4.400000000000000265e-03
1.000000000000000000e+00 -1.600000000000000077e-03
1.000000000000000000e+00 0.000000000000000000e+00
