A18 (original)

1.000000000000000000e+00 3.069999999999999812e-03
1.000000000000000000e+00 6.139999999999999625e-03
9.499999999999999556e-01 1.816999999999999865e-02
9.000000000000000222e-01 2.858000000000000124e-02
8.000000000000000444e-01 4.624000000000000332e-02
6.999999999999999556e-01 6.056000000000000272e-02
5.999999999999999778e-01 7.197000000000000619e-02
5.500000000000000444e-01 7.611999999999999322e-02
5.000000000000000000e-01 7.975000000000000144e-02
4.500000000000000111e-01 8.293000000000000371e-02
4.000000000000000222e-01 8.376000000000000112e-02
3.499999999999999778e-01 8.465999999999999914e-02
2.999999999999999889e-01 8.383000000000000174e-02
2.500000000000000000e-01 8.064999999999999947e-02
2.000000000000000111e-01 7.600999999999999424e-02
1.499999999999999944e-01 7.026000000000000301e-02
1.000000000000000056e-01 6.233999999999999958e-02
7.499999999999999722e-02 5.659999999999999754e-02
5.000000000000000278e-02 4.923000000000000292e-02
2.500000000000000139e-02 3.946999999999999814e-02
1.250000000000000069e-02 3.239000000000000212e-02
0.000000000000000000e+00 1.864999999999999991e-02
1.250000000000000069e-02 7.810000000000000102e-03
2.500000000000000139e-02 3.569999999999999823e-03
5.000000000000000278e-02 7.500000000000000156e-04
7.499999999999999722e-02 0.000000000000000000e+00
1.000000000000000056e-01 6.000000000000000152e-05
1.499999999999999944e-01 2.000000000000000042e-03
2.000000000000000111e-01 4.749999999999999882e-03
2.500000000000000000e-01 8.059999999999999457e-03
2.999999999999999889e-01 1.038000000000000034e-02
3.499999999999999778e-01 1.353000000000000036e-02
4.000000000000000222e-01 1.657000000000000139e-02
4.500000000000000111e-01 1.779999999999999985e-02
5.000000000000000000e-01 1.883999999999999911e-02
5.500000000000000444e-01 1.980000000000000163e-02
5.999999999999999778e-01 1.998000000000000123e-02
6.999999999999999556e-01 1.924000000000000016e-02
8.000000000000000444e-01 1.451999999999999992e-02
9.000000000000000222e-01 8.130000000000000074e-03
9.499999999999999556e-01 4.340000000000000108e-03
1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 3.069999999999999812e-03
