A18 (smoothed)

1.000000000000000000e+00 5.000000000000013115e-06
1.000000000000000000e+00 3.069999999999999812e-03
9.975399999999999823e-01 3.650000000000000033e-03
9.907000000000000250e-01 5.300000000000000024e-03
9.803699999999999637e-01 7.709999999999999840e-03
9.669799999999999507e-01 1.069999999999999944e-02
9.504399999999999515e-01 1.421000000000000041e-02
9.306400000000000228e-01 1.819000000000000131e-02
9.077499999999999458e-01 2.253000000000000141e-02
8.820200000000000262e-01 2.711999999999999827e-02
8.537000000000000144e-01 3.185000000000000331e-02
8.230899999999999883e-01 3.660999999999999671e-02
7.904799999999999605e-01 4.132000000000000256e-02
7.561600000000000543e-01 4.590999999999999942e-02
7.204300000000000148e-01 5.029000000000000137e-02
6.835900000000000309e-01 5.439999999999999697e-02
6.459399999999999586e-01 5.818999999999999867e-02
6.077799999999999869e-01 6.160000000000000198e-02
5.693700000000000427e-01 6.457999999999999852e-02
5.309899999999999620e-01 6.710000000000000686e-02
4.926499999999999768e-01 6.911000000000000476e-02
4.543499999999999761e-01 7.058000000000000385e-02
4.163799999999999724e-01 7.142999999999999350e-02
3.788699999999999846e-01 7.156999999999999473e-02
3.420400000000000107e-01 7.094000000000000306e-02
3.060899999999999732e-01 6.951000000000000234e-02
2.711999999999999966e-01 6.733000000000000096e-02
2.376000000000000056e-01 6.450999999999999790e-02
2.054900000000000060e-01 6.113999999999999990e-02
1.750400000000000011e-01 5.734000000000000208e-02
1.464799999999999991e-01 5.315000000000000280e-02
1.199899999999999994e-01 4.859999999999999737e-02
9.575999999999999790e-02 4.367999999999999661e-02
7.395000000000000184e-02 3.839000000000000051e-02
5.467999999999999944e-02 3.277000000000000052e-02
3.810999999999999804e-02 2.693999999999999867e-02
2.433000000000000093e-02 2.103000000000000008e-02
1.337999999999999953e-02 1.512999999999999935e-02
5.479999999999999628e-03 9.320000000000000159e-03
9.799999999999999684e-04 3.759999999999999887e-03
0.000000000000000000e+00 0.000000000000000000e+00
9.799999999999999684e-04 -3.480000000000000020e-03
5.479999999999999628e-03 -7.700000000000000247e-03
1.337999999999999953e-02 -1.118000000000000070e-02
2.433000000000000093e-02 -1.387999999999999998e-02
3.810999999999999804e-02 -1.581000000000000114e-02
5.467999999999999944e-02 -1.699000000000000163e-02
7.395000000000000184e-02 -1.739999999999999880e-02
9.575999999999999790e-02 -1.708000000000000143e-02
1.199899999999999994e-01 -1.610999999999999932e-02
1.464799999999999991e-01 -1.460999999999999972e-02
1.750400000000000011e-01 -1.268999999999999989e-02
2.054900000000000060e-01 -1.047000000000000014e-02
2.376000000000000056e-01 -8.049999999999999864e-03
2.711999999999999966e-01 -5.499999999999999681e-03
3.060899999999999732e-01 -2.899999999999999800e-03
3.420400000000000107e-01 -3.299999999999999982e-04
3.788699999999999846e-01 2.089999999999999844e-03
4.163799999999999724e-01 4.290000000000000410e-03
4.543499999999999761e-01 6.170000000000000137e-03
4.926499999999999768e-01 7.729999999999999892e-03
5.309899999999999620e-01 8.949999999999999623e-03
5.693700000000000427e-01 9.839999999999999789e-03
6.077799999999999869e-01 1.042000000000000044e-02
6.459399999999999586e-01 1.067000000000000066e-02
6.835900000000000309e-01 1.060000000000000005e-02
7.204300000000000148e-01 1.021999999999999992e-02
7.561600000000000543e-01 9.539999999999999869e-03
7.904799999999999605e-01 8.580000000000000820e-03
8.230899999999999883e-01 7.380000000000000275e-03
8.537000000000000144e-01 6.000000000000000125e-03
8.820200000000000262e-01 4.499999999999999660e-03
9.077499999999999458e-01 2.969999999999999984e-03
9.306400000000000228e-01 1.490000000000000005e-03
9.504399999999999515e-01 1.499999999999999869e-04
9.669799999999999507e-01 -9.799999999999999684e-04
9.803699999999999637e-01 -1.869999999999999917e-03
9.907000000000000250e-01 -2.520000000000000104e-03
9.975399999999999823e-01 -2.919999999999999853e-03
1.000000000000000000e+00 -3.059999999999999786e-03
1.000000000000000000e+00 5.000000000000013115e-06
