 DSMA-523A AIRFOIL

1.000000000000000000e+00 4.029999999999999837e-04
1.000000000000000000e+00 3.080000000000000055e-04
9.799999999999999822e-01 6.841999999999999992e-03
9.599999999999999645e-01 1.264200000000000046e-02
9.499999999999999556e-01 1.770800000000000152e-02
9.200000000000000400e-01 2.218499999999999986e-02
9.000000000000000222e-01 2.615500000000000116e-02
8.800000000000000044e-01 2.966600000000000140e-02
8.599999999999999867e-01 3.277999999999999664e-02
8.399999999999999689e-01 3.550199999999999884e-02
8.199999999999999512e-01 3.790700000000000319e-02
8.000000000000000444e-01 4.004300000000000220e-02
7.800000000000000266e-01 4.194200000000000012e-02
7.600000000000000089e-01 4.362499999999999711e-02
7.399999999999999911e-01 4.513000000000000345e-02
7.199999999999999734e-01 4.649400000000000061e-02
6.999999999999999556e-01 4.772499999999999659e-02
6.800000000000000488e-01 4.883200000000000041e-02
6.600000000000000311e-01 4.982600000000000223e-02
6.400000000000000133e-01 5.072600000000000026e-02
6.199999999999999956e-01 5.154000000000000248e-02
5.999999999999999778e-01 5.226900000000000296e-02
5.799999999999999600e-01 5.291699999999999876e-02
5.600000000000000533e-01 5.348599999999999882e-02
5.400000000000000355e-01 5.397600000000000314e-02
5.200000000000000178e-01 5.439000000000000085e-02
5.000000000000000000e-01 5.472300000000000081e-02
4.799999999999999822e-01 5.497300000000000103e-02
4.600000000000000200e-01 5.514600000000000057e-02
4.400000000000000022e-01 5.524699999999999750e-02
4.199999999999999845e-01 5.527200000000000168e-02
4.000000000000000222e-01 5.523999999999999744e-02
3.800000000000000044e-01 5.514899999999999664e-02
3.599999999999999867e-01 5.499799999999999828e-02
3.400000000000000244e-01 5.478800000000000336e-02
3.200000000000000067e-01 5.451299999999999896e-02
2.999999999999999889e-01 5.416100000000000081e-02
2.800000000000000266e-01 5.372899999999999898e-02
2.600000000000000089e-01 5.319900000000000323e-02
2.399999999999999911e-01 5.256299999999999861e-02
2.200000000000000011e-01 5.180200000000000082e-02
2.000000000000000111e-01 5.090200000000000280e-02
1.799999999999999933e-01 4.982799999999999729e-02
1.600000000000000033e-01 4.854300000000000281e-02
1.400000000000000133e-01 4.701700000000000323e-02
1.199999999999999956e-01 4.519800000000000206e-02
1.000000000000000056e-01 4.298699999999999743e-02
8.000000000000000167e-02 4.036700000000000010e-02
5.999999999999999778e-02 3.740700000000000275e-02
4.000000000000000083e-02 3.345900000000000263e-02
2.999999999999999889e-02 3.072899999999999937e-02
2.000000000000000042e-02 2.691800000000000095e-02
1.499999999999999944e-02 2.426700000000000038e-02
1.250000000000000069e-02 2.265100000000000099e-02
1.000000000000000021e-02 2.071599999999999830e-02
7.499999999999999722e-03 1.841699999999999934e-02
5.089999999999999906e-03 1.532000000000000028e-02
2.500000000000000052e-03 1.106299999999999992e-02
