EH 1.5/9.0

1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00
9.960569999999999702e-01 1.910000000000000077e-04
9.911440000000000250e-01 4.719999999999999803e-04
9.842919999999999447e-01 9.250000000000000409e-04
9.755279999999999507e-01 1.570999999999999914e-03
9.648879999999999679e-01 2.410999999999999949e-03
9.524139999999999828e-01 3.435000000000000119e-03
9.381530000000000147e-01 4.636000000000000364e-03
9.221639999999999837e-01 6.015000000000000381e-03
9.045079999999999787e-01 7.578999999999999800e-03
8.852569999999999606e-01 9.334999999999999548e-03
8.644840000000000302e-01 1.128299999999999963e-02
8.422739999999999672e-01 1.341799999999999937e-02
8.187119999999999953e-01 1.573099999999999846e-02
7.938929999999999598e-01 1.821300000000000002e-02
7.679129999999999567e-01 2.085100000000000148e-02
7.408770000000000078e-01 2.363000000000000170e-02
7.128900000000000237e-01 2.653099999999999903e-02
6.840619999999999479e-01 2.953199999999999922e-02
6.545079999999999787e-01 3.260400000000000104e-02
6.243450000000000388e-01 3.571799999999999975e-02
5.936909999999999688e-01 3.883799999999999752e-02
5.626670000000000282e-01 4.192300000000000193e-02
5.313949999999999507e-01 4.492700000000000166e-02
5.000000000000000000e-01 4.780000000000000221e-02
4.686049999999999938e-01 5.049000000000000016e-02
4.373330000000000273e-01 5.294100000000000195e-02
4.063089999999999757e-01 5.509700000000000014e-02
3.756550000000000167e-01 5.690499999999999725e-02
3.454920000000000213e-01 5.831000000000000072e-02
3.159379999999999966e-01 5.926300000000000318e-02
2.871099999999999763e-01 5.972000000000000225e-02
2.591229999999999922e-01 5.964699999999999863e-02
2.320869999999999878e-01 5.901800000000000102e-02
2.061070000000000124e-01 5.781900000000000234e-02
1.812880000000000047e-01 5.604800000000000060e-02
1.577260000000000051e-01 5.371700000000000086e-02
1.355159999999999976e-01 5.085200000000000137e-02
1.147429999999999978e-01 4.749199999999999949e-02
9.549199999999999355e-02 4.368600000000000261e-02
7.783600000000000241e-02 3.949600000000000333e-02
6.184699999999999920e-02 3.499599999999999933e-02
4.758600000000000330e-02 3.026500000000000024e-02
3.511199999999999738e-02 2.538800000000000084e-02
2.447200000000000070e-02 2.046100000000000002e-02
1.570799999999999974e-02 1.561599999999999967e-02
8.855999999999999289e-03 1.102299999999999981e-02
3.943000000000000324e-03 6.854999999999999982e-03
9.870000000000000301e-04 3.199000000000000021e-03
0.000000000000000000e+00 0.000000000000000000e+00
9.870000000000000301e-04 -2.919999999999999853e-03
3.943000000000000324e-03 -5.748999999999999770e-03
8.855999999999999289e-03 -8.578999999999999820e-03
1.570799999999999974e-02 -1.136999999999999990e-02
2.447200000000000070e-02 -1.402100000000000048e-02
3.511199999999999738e-02 -1.644599999999999881e-02
4.758600000000000330e-02 -1.861000000000000154e-02
6.184699999999999920e-02 -2.051899999999999905e-02
7.783600000000000241e-02 -2.219099999999999892e-02
9.549199999999999355e-02 -2.365099999999999841e-02
1.147429999999999978e-01 -2.492099999999999871e-02
1.355159999999999976e-01 -2.602700000000000152e-02
1.577260000000000051e-01 -2.699199999999999863e-02
1.812880000000000047e-01 -2.783499999999999863e-02
2.061070000000000124e-01 -2.857099999999999917e-02
2.320869999999999878e-01 -2.921100000000000085e-02
2.591229999999999922e-01 -2.975699999999999873e-02
2.871099999999999763e-01 -3.021000000000000074e-02
3.159379999999999966e-01 -3.056700000000000042e-02
3.454920000000000213e-01 -3.082000000000000017e-02
3.756550000000000167e-01 -3.095699999999999841e-02
4.063089999999999757e-01 -3.096300000000000094e-02
4.373330000000000273e-01 -3.082400000000000070e-02
4.686049999999999938e-01 -3.052399999999999905e-02
5.000000000000000000e-01 -3.005000000000000032e-02
5.313949999999999507e-01 -2.939500000000000099e-02
5.626670000000000282e-01 -2.855200000000000099e-02
5.936909999999999688e-01 -2.752299999999999885e-02
6.243450000000000388e-01 -2.631299999999999958e-02
6.545079999999999787e-01 -2.493300000000000030e-02
6.840619999999999479e-01 -2.340100000000000166e-02
7.128900000000000237e-01 -2.173599999999999838e-02
7.408770000000000078e-01 -1.996799999999999964e-02
7.679129999999999567e-01 -1.812499999999999875e-02
7.938929999999999598e-01 -1.624099999999999849e-02
8.187119999999999953e-01 -1.434999999999999991e-02
8.422739999999999672e-01 -1.248400000000000030e-02
8.644840000000000302e-01 -1.067799999999999999e-02
8.852569999999999606e-01 -8.961000000000000215e-03
9.045079999999999787e-01 -7.361000000000000355e-03
9.221639999999999837e-01 -5.897000000000000332e-03
9.381530000000000147e-01 -4.577999999999999604e-03
9.524139999999999828e-01 -3.409999999999999837e-03
9.648879999999999679e-01 -2.402000000000000055e-03
9.755279999999999507e-01 -1.569000000000000082e-03
9.842919999999999447e-01 -9.250000000000000409e-04
9.911440000000000250e-01 -4.730000000000000046e-04
9.960569999999999702e-01 -1.910000000000000077e-04
1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00
