EH 2.0/12

1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00
9.990099999999999536e-01 6.000000000000000152e-05
9.960599999999999454e-01 2.400000000000000061e-04
9.911400000000000210e-01 6.099999999999999737e-04
9.842899999999999983e-01 1.209999999999999921e-03
9.755300000000000082e-01 2.069999999999999792e-03
9.648900000000000254e-01 3.190000000000000127e-03
9.524099999999999788e-01 4.559999999999999817e-03
9.381500000000000394e-01 6.170000000000000137e-03
9.221599999999999797e-01 8.009999999999999759e-03
9.045100000000000362e-01 1.009000000000000001e-02
8.852600000000000469e-01 1.243999999999999967e-02
8.644800000000000262e-01 1.502999999999999996e-02
8.422699999999999632e-01 1.788000000000000006e-02
8.187100000000000488e-01 2.095999999999999946e-02
7.938899999999999846e-01 2.426999999999999991e-02
7.679099999999999815e-01 2.778999999999999873e-02
7.408799999999999830e-01 3.150000000000000022e-02
7.128900000000000237e-01 3.536999999999999866e-02
6.840600000000000014e-01 3.937000000000000222e-02
6.545100000000000362e-01 4.345999999999999863e-02
6.243499999999999606e-01 4.762000000000000260e-02
5.936900000000000510e-01 5.177999999999999964e-02
5.626700000000000035e-01 5.589000000000000218e-02
5.313999999999999835e-01 5.990000000000000185e-02
5.000000000000000000e-01 6.372999999999999499e-02
4.686100000000000265e-01 6.730999999999999484e-02
4.373299999999999965e-01 7.058000000000000385e-02
4.063100000000000045e-01 7.345999999999999752e-02
3.756599999999999939e-01 7.587000000000000688e-02
3.454900000000000193e-01 7.774000000000000354e-02
3.159399999999999986e-01 7.900999999999999690e-02
2.871099999999999763e-01 7.961999999999999633e-02
2.591200000000000170e-01 7.951999999999999347e-02
2.320899999999999908e-01 7.868999999999999606e-02
2.061099999999999877e-01 7.709000000000000574e-02
1.812900000000000067e-01 7.473000000000000476e-02
1.577300000000000091e-01 7.162000000000000310e-02
1.355200000000000016e-01 6.779999999999999916e-02
1.147399999999999948e-01 6.332000000000000128e-02
9.549000000000000543e-02 5.824000000000000010e-02
7.784000000000000641e-02 5.265999999999999848e-02
6.185000000000000220e-02 4.666000000000000009e-02
4.759000000000000036e-02 4.034999999999999698e-02
3.511000000000000232e-02 3.384999999999999815e-02
2.446999999999999870e-02 2.727999999999999869e-02
1.570999999999999827e-02 2.082000000000000170e-02
8.859999999999999820e-03 1.469999999999999953e-02
3.939999999999999926e-03 9.150000000000000147e-03
9.899999999999999946e-04 4.270000000000000358e-03
0.000000000000000000e+00 0.000000000000000000e+00
9.899999999999999946e-04 -3.899999999999999821e-03
3.939999999999999926e-03 -7.669999999999999735e-03
8.859999999999999820e-03 -1.144000000000000052e-02
1.570999999999999827e-02 -1.515999999999999986e-02
2.446999999999999870e-02 -1.868999999999999828e-02
3.511000000000000232e-02 -2.191999999999999851e-02
4.759000000000000036e-02 -2.480999999999999872e-02
6.185000000000000220e-02 -2.735999999999999890e-02
7.784000000000000641e-02 -2.959000000000000172e-02
9.549000000000000543e-02 -3.153000000000000247e-02
1.147399999999999948e-01 -3.323000000000000259e-02
1.355200000000000016e-01 -3.470000000000000168e-02
1.577300000000000091e-01 -3.599000000000000116e-02
1.812900000000000067e-01 -3.710999999999999716e-02
2.061099999999999877e-01 -3.808999999999999886e-02
2.320899999999999908e-01 -3.894000000000000239e-02
2.591200000000000170e-01 -3.966999999999999693e-02
2.871099999999999763e-01 -4.028000000000000330e-02
3.159399999999999986e-01 -4.075000000000000150e-02
3.454900000000000193e-01 -4.109000000000000152e-02
3.756599999999999939e-01 -4.127000000000000113e-02
4.063100000000000045e-01 -4.127999999999999725e-02
4.373299999999999965e-01 -4.109000000000000152e-02
4.686100000000000265e-01 -4.068999999999999700e-02
5.000000000000000000e-01 -4.005999999999999839e-02
5.313999999999999835e-01 -3.919000000000000261e-02
5.626700000000000035e-01 -3.805999999999999661e-02
5.936900000000000510e-01 -3.669000000000000039e-02
6.243499999999999606e-01 -3.508000000000000007e-02
6.545100000000000362e-01 -3.323999999999999871e-02
6.840600000000000014e-01 -3.118999999999999898e-02
7.128900000000000237e-01 -2.896999999999999922e-02
7.408799999999999830e-01 -2.661000000000000171e-02
7.679099999999999815e-01 -2.416000000000000092e-02
7.938899999999999846e-01 -2.163999999999999951e-02
8.187100000000000488e-01 -1.912000000000000158e-02
8.422699999999999632e-01 -1.662999999999999895e-02
8.644800000000000262e-01 -1.422999999999999959e-02
8.852600000000000469e-01 -1.193999999999999923e-02
9.045100000000000362e-01 -9.799999999999999684e-03
9.221599999999999797e-01 -7.849999999999999339e-03
9.381500000000000394e-01 -6.089999999999999927e-03
9.524099999999999788e-01 -4.530000000000000172e-03
9.648900000000000254e-01 -3.180000000000000101e-03
9.755300000000000082e-01 -2.060000000000000199e-03
9.842899999999999983e-01 -1.209999999999999921e-03
9.911400000000000210e-01 -6.099999999999999737e-04
9.960599999999999454e-01 -2.400000000000000061e-04
9.990099999999999536e-01 -6.000000000000000152e-05
1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00
