FX 79-L-100

1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00
9.989299999999999846e-01 8.999999999999999754e-04
9.957200000000000495e-01 1.139999999999999954e-03
9.903899999999999926e-01 1.559999999999999972e-03
9.829599999999999449e-01 2.020000000000000094e-03
9.734699999999999465e-01 2.660000000000000038e-03
9.619400000000000173e-01 3.429999999999999889e-03
9.484399999999999498e-01 4.349999999999999700e-03
9.330100000000000060e-01 5.409999999999999878e-03
9.157300000000000439e-01 6.620000000000000016e-03
8.966800000000000326e-01 8.000000000000000167e-03
8.759200000000000319e-01 9.579999999999999974e-03
8.535500000000000309e-01 1.136000000000000031e-02
8.296700000000000186e-01 1.333999999999999943e-02
8.043799999999999839e-01 1.553000000000000040e-02
7.777899999999999814e-01 1.789999999999999925e-02
7.500000000000000000e-01 2.045999999999999902e-02
7.211400000000000032e-01 2.317999999999999922e-02
6.913399999999999546e-01 2.605000000000000024e-02
6.607199999999999740e-01 2.903000000000000025e-02
6.294100000000000250e-01 3.207999999999999741e-02
5.975500000000000256e-01 3.515000000000000069e-02
5.652599999999999847e-01 3.815999999999999948e-02
5.326999999999999513e-01 4.102000000000000091e-02
5.000000000000000000e-01 4.361999999999999905e-02
4.672999999999999932e-01 4.587999999999999717e-02
4.347400000000000153e-01 4.771000000000000241e-02
4.024499999999999744e-01 4.907000000000000250e-02
3.705899999999999750e-01 4.995000000000000134e-02
3.392800000000000260e-01 5.032999999999999974e-02
3.086599999999999899e-01 5.022999999999999687e-02
2.788599999999999968e-01 4.970000000000000112e-02
2.500000000000000000e-01 4.880000000000000310e-02
2.222099999999999909e-01 4.753999999999999893e-02
1.956199999999999883e-01 4.596000000000000085e-02
1.703300000000000092e-01 4.408000000000000113e-02
1.464499999999999968e-01 4.193000000000000199e-02
1.240799999999999959e-01 3.953000000000000264e-02
1.033199999999999952e-01 3.690000000000000224e-02
8.426999999999999769e-02 3.406000000000000000e-02
6.698999999999999400e-02 3.100999999999999937e-02
5.156000000000000166e-02 2.778999999999999873e-02
3.805999999999999661e-02 2.437999999999999889e-02
2.653000000000000150e-02 2.076000000000000068e-02
1.703999999999999959e-02 1.691000000000000142e-02
9.610000000000000486e-03 1.284000000000000072e-02
4.279999999999999950e-03 8.600000000000000006e-03
1.069999999999999988e-03 4.309999999999999595e-03
0.000000000000000000e+00 0.000000000000000000e+00
1.069999999999999988e-03 -4.309999999999999595e-03
4.279999999999999950e-03 -8.600000000000000006e-03
9.610000000000000486e-03 -1.284000000000000072e-02
1.703999999999999959e-02 -1.691000000000000142e-02
2.653000000000000150e-02 -2.076000000000000068e-02
3.805999999999999661e-02 -2.437999999999999889e-02
5.156000000000000166e-02 -2.778999999999999873e-02
6.698999999999999400e-02 -3.100999999999999937e-02
8.426999999999999769e-02 -3.406000000000000000e-02
1.033199999999999952e-01 -3.690000000000000224e-02
1.240799999999999959e-01 -3.953000000000000264e-02
1.464499999999999968e-01 -4.193000000000000199e-02
1.703300000000000092e-01 -4.408000000000000113e-02
1.956199999999999883e-01 -4.596000000000000085e-02
2.222099999999999909e-01 -4.753999999999999893e-02
2.500000000000000000e-01 -4.880000000000000310e-02
2.788599999999999968e-01 -4.970000000000000112e-02
3.086599999999999899e-01 -5.022999999999999687e-02
3.392800000000000260e-01 -5.032999999999999974e-02
3.705899999999999750e-01 -4.995000000000000134e-02
4.024499999999999744e-01 -4.907000000000000250e-02
4.347400000000000153e-01 -4.771000000000000241e-02
4.672999999999999932e-01 -4.587999999999999717e-02
5.000000000000000000e-01 -4.361999999999999905e-02
5.326999999999999513e-01 -4.102000000000000091e-02
5.652599999999999847e-01 -3.815999999999999948e-02
5.975500000000000256e-01 -3.515000000000000069e-02
6.294100000000000250e-01 -3.207999999999999741e-02
6.607199999999999740e-01 -2.903000000000000025e-02
6.913399999999999546e-01 -2.605000000000000024e-02
7.211400000000000032e-01 -2.317999999999999922e-02
7.500000000000000000e-01 -2.045999999999999902e-02
7.777899999999999814e-01 -1.789999999999999925e-02
8.043799999999999839e-01 -1.553000000000000040e-02
8.296700000000000186e-01 -1.333999999999999943e-02
8.535500000000000309e-01 -1.136000000000000031e-02
8.759200000000000319e-01 -9.579999999999999974e-03
8.966800000000000326e-01 -8.000000000000000167e-03
9.157300000000000439e-01 -6.620000000000000016e-03
9.330100000000000060e-01 -5.409999999999999878e-03
9.484399999999999498e-01 -4.349999999999999700e-03
9.619400000000000173e-01 -3.429999999999999889e-03
9.734699999999999465e-01 -2.660000000000000038e-03
9.829599999999999449e-01 -2.020000000000000094e-03
9.903899999999999926e-01 -1.559999999999999972e-03
9.957200000000000495e-01 -1.139999999999999954e-03
9.989299999999999846e-01 -8.999999999999999754e-04
1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00
