FX 79-W-470A

1.000000000000000000e+00 -4.499999999999990119e-05
1.000000000000000000e+00 3.209000000000000047e-02
9.989299999999999846e-01 2.974999999999999867e-02
9.957200000000000495e-01 6.893000000000000516e-02
9.903899999999999926e-01 8.322000000000000230e-02
9.829599999999999449e-01 9.382000000000000062e-02
9.734699999999999465e-01 1.023000000000000020e-01
9.619400000000000173e-01 1.065399999999999958e-01
9.484399999999999498e-01 1.090499999999999942e-01
9.330100000000000060e-01 1.117199999999999999e-01
9.157300000000000439e-01 1.160999999999999949e-01
8.966800000000000326e-01 1.213599999999999957e-01
8.759200000000000319e-01 1.272999999999999965e-01
8.535500000000000309e-01 1.340000000000000080e-01
8.296700000000000186e-01 1.411999999999999922e-01
8.043799999999999839e-01 1.488700000000000023e-01
7.777899999999999814e-01 1.571299999999999919e-01
7.500000000000000000e-01 1.663100000000000134e-01
7.211400000000000032e-01 1.759199999999999930e-01
6.913399999999999546e-01 1.857499999999999984e-01
6.607199999999999740e-01 1.958900000000000086e-01
6.294100000000000250e-01 2.063800000000000079e-01
5.975500000000000256e-01 2.165499999999999925e-01
5.652599999999999847e-01 2.256299999999999972e-01
5.326999999999999513e-01 2.336499999999999966e-01
5.000000000000000000e-01 2.411399999999999932e-01
4.672999999999999932e-01 2.481200000000000072e-01
4.347400000000000153e-01 2.540600000000000080e-01
4.024499999999999744e-01 2.590299999999999825e-01
3.705899999999999750e-01 2.624000000000000221e-01
3.392800000000000260e-01 2.634600000000000275e-01
3.086599999999999899e-01 2.623800000000000021e-01
2.788599999999999968e-01 2.590100000000000180e-01
2.500000000000000000e-01 2.535100000000000131e-01
2.222099999999999909e-01 2.457999999999999907e-01
1.956199999999999883e-01 2.360399999999999998e-01
1.703300000000000092e-01 2.240399999999999892e-01
1.464499999999999968e-01 2.102100000000000080e-01
1.240799999999999959e-01 1.951199999999999879e-01
1.033199999999999952e-01 1.791800000000000059e-01
8.426999999999999769e-02 1.625500000000000000e-01
6.698999999999999400e-02 1.450200000000000100e-01
5.156000000000000166e-02 1.265199999999999936e-01
3.805999999999999661e-02 1.079200000000000020e-01
2.653000000000000150e-02 9.041000000000000425e-02
1.703999999999999959e-02 7.378999999999999448e-02
9.610000000000000486e-03 5.775000000000000272e-02
4.279999999999999950e-03 4.089999999999999886e-02
1.069999999999999988e-03 2.494000000000000036e-02
0.000000000000000000e+00 0.000000000000000000e+00
1.069999999999999988e-03 -1.000000000000000021e-02
4.279999999999999950e-03 -2.332000000000000045e-02
9.610000000000000486e-03 -3.618999999999999995e-02
1.703999999999999959e-02 -4.807000000000000162e-02
2.653000000000000150e-02 -6.019999999999999657e-02
3.805999999999999661e-02 -7.191999999999999782e-02
5.156000000000000166e-02 -8.354999999999999927e-02
6.698999999999999400e-02 -9.500000000000000111e-02
8.426999999999999769e-02 -1.063000000000000056e-01
1.033199999999999952e-01 -1.177900000000000058e-01
1.240799999999999959e-01 -1.292000000000000093e-01
1.464499999999999968e-01 -1.401300000000000046e-01
1.703300000000000092e-01 -1.505599999999999994e-01
1.956199999999999883e-01 -1.603300000000000003e-01
2.222099999999999909e-01 -1.694100000000000050e-01
2.500000000000000000e-01 -1.776800000000000046e-01
2.788599999999999968e-01 -1.851099999999999968e-01
3.086599999999999899e-01 -1.915600000000000080e-01
3.392800000000000260e-01 -1.970999999999999974e-01
3.705899999999999750e-01 -2.012899999999999967e-01
4.024499999999999744e-01 -2.035500000000000087e-01
4.347400000000000153e-01 -2.039999999999999869e-01
4.672999999999999932e-01 -2.032299999999999940e-01
5.000000000000000000e-01 -2.014100000000000057e-01
5.326999999999999513e-01 -1.980500000000000038e-01
5.652599999999999847e-01 -1.924700000000000022e-01
5.975500000000000256e-01 -1.849999999999999978e-01
6.294100000000000250e-01 -1.762700000000000100e-01
6.607199999999999740e-01 -1.668300000000000061e-01
6.913399999999999546e-01 -1.570100000000000107e-01
7.211400000000000032e-01 -1.471899999999999875e-01
7.500000000000000000e-01 -1.384100000000000052e-01
7.777899999999999814e-01 -1.310199999999999976e-01
8.043799999999999839e-01 -1.246899999999999953e-01
8.296700000000000186e-01 -1.186299999999999993e-01
8.535500000000000309e-01 -1.126800000000000024e-01
8.759200000000000319e-01 -1.071899999999999936e-01
8.966800000000000326e-01 -1.030800000000000050e-01
9.157300000000000439e-01 -9.983999999999999819e-02
9.330100000000000060e-01 -9.721000000000000474e-02
9.484399999999999498e-01 -9.604000000000000037e-02
9.619400000000000173e-01 -9.490999999999999437e-02
9.734699999999999465e-01 -9.198000000000000620e-02
9.829599999999999449e-01 -8.527999999999999470e-02
9.903899999999999926e-01 -7.674999999999999878e-02
9.957200000000000495e-01 -6.440999999999999504e-02
9.989299999999999846e-01 -3.853999999999999787e-02
1.000000000000000000e+00 -3.218000000000000027e-02
1.000000000000000000e+00 -4.499999999999990119e-05
