FX 83-W-108

1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00
9.989299999999999846e-01 1.059999999999999961e-03
9.957200000000000495e-01 2.050000000000000173e-03
9.903899999999999926e-01 3.670000000000000085e-03
9.829599999999999449e-01 5.850000000000000165e-03
9.734699999999999465e-01 8.550000000000000308e-03
9.619400000000000173e-01 1.167999999999999941e-02
9.484399999999999498e-01 1.515000000000000027e-02
9.330100000000000060e-01 1.888000000000000095e-02
9.157300000000000439e-01 2.292999999999999899e-02
8.966800000000000326e-01 2.727999999999999869e-02
8.759200000000000319e-01 3.196999999999999842e-02
8.535500000000000309e-01 3.690000000000000224e-02
8.296700000000000186e-01 4.206000000000000016e-02
8.043799999999999839e-01 4.735000000000000320e-02
7.777899999999999814e-01 5.278999999999999665e-02
7.500000000000000000e-01 5.820000000000000173e-02
7.211400000000000032e-01 6.357999999999999763e-02
6.913399999999999546e-01 6.875000000000000555e-02
6.607199999999999740e-01 7.366000000000000325e-02
6.294100000000000250e-01 7.809000000000000663e-02
5.975500000000000256e-01 8.200000000000000344e-02
5.652599999999999847e-01 8.526000000000000245e-02
5.326999999999999513e-01 8.784000000000000141e-02
5.000000000000000000e-01 8.974000000000000032e-02
4.672999999999999932e-01 9.092999999999999694e-02
4.347400000000000153e-01 9.142000000000000126e-02
4.024499999999999744e-01 9.128000000000000003e-02
3.705899999999999750e-01 9.045000000000000262e-02
3.392800000000000260e-01 8.902999999999999803e-02
3.086599999999999899e-01 8.702999999999999625e-02
2.788599999999999968e-01 8.452999999999999403e-02
2.500000000000000000e-01 8.155999999999999361e-02
2.222099999999999909e-01 7.815999999999999337e-02
1.956199999999999883e-01 7.435999999999999555e-02
1.703300000000000092e-01 7.019000000000000239e-02
1.464499999999999968e-01 6.571000000000000452e-02
1.240799999999999959e-01 6.092000000000000193e-02
1.033199999999999952e-01 5.589999999999999830e-02
8.426999999999999769e-02 5.065999999999999670e-02
6.698999999999999400e-02 4.529999999999999999e-02
5.156000000000000166e-02 3.975000000000000061e-02
3.805999999999999661e-02 3.416000000000000286e-02
2.653000000000000150e-02 2.843000000000000041e-02
1.703999999999999959e-02 2.279000000000000123e-02
9.610000000000000486e-03 1.703999999999999959e-02
4.279999999999999950e-03 1.135000000000000071e-02
1.069999999999999988e-03 5.499999999999999681e-03
0.000000000000000000e+00 0.000000000000000000e+00
1.069999999999999988e-03 -4.199999999999999740e-03
4.279999999999999950e-03 -8.760000000000000425e-03
9.610000000000000486e-03 -1.251999999999999988e-02
1.703999999999999959e-02 -1.574000000000000052e-02
2.653000000000000150e-02 -1.840999999999999928e-02
3.805999999999999661e-02 -2.072999999999999843e-02
5.156000000000000166e-02 -2.266999999999999918e-02
6.698999999999999400e-02 -2.436999999999999930e-02
8.426999999999999769e-02 -2.577000000000000124e-02
1.033199999999999952e-01 -2.687000000000000152e-02
1.240799999999999959e-01 -2.761999999999999872e-02
1.464499999999999968e-01 -2.802999999999999936e-02
1.703300000000000092e-01 -2.802999999999999936e-02
1.956199999999999883e-01 -2.759999999999999953e-02
2.222099999999999909e-01 -2.674999999999999947e-02
2.500000000000000000e-01 -2.545000000000000040e-02
2.788599999999999968e-01 -2.375999999999999987e-02
3.086599999999999899e-01 -2.164999999999999911e-02
3.392800000000000260e-01 -1.915999999999999995e-02
3.705899999999999750e-01 -1.637999999999999873e-02
4.024499999999999744e-01 -1.358000000000000006e-02
4.347400000000000153e-01 -1.072000000000000036e-02
4.672999999999999932e-01 -8.040000000000000271e-03
5.000000000000000000e-01 -5.479999999999999628e-03
5.326999999999999513e-01 -3.119999999999999944e-03
5.652599999999999847e-01 -9.700000000000000505e-04
5.975500000000000256e-01 9.499999999999999981e-04
6.294100000000000250e-01 2.670000000000000064e-03
6.607199999999999740e-01 4.080000000000000293e-03
6.913399999999999546e-01 5.290000000000000431e-03
7.211400000000000032e-01 6.219999999999999835e-03
7.500000000000000000e-01 6.949999999999999581e-03
7.777899999999999814e-01 7.340000000000000170e-03
8.043799999999999839e-01 7.539999999999999827e-03
8.296700000000000186e-01 7.459999999999999618e-03
8.535500000000000309e-01 7.239999999999999908e-03
8.759200000000000319e-01 6.799999999999999621e-03
8.966800000000000326e-01 6.239999999999999887e-03
9.157300000000000439e-01 5.490000000000000088e-03
9.330100000000000060e-01 4.669999999999999672e-03
9.484399999999999498e-01 3.749999999999999861e-03
9.619400000000000173e-01 2.830000000000000050e-03
9.734699999999999465e-01 1.930000000000000075e-03
9.829599999999999449e-01 1.129999999999999928e-03
9.903899999999999926e-01 4.299999999999999894e-04
9.957200000000000495e-01 -1.399999999999999877e-04
9.989299999999999846e-01 -5.500000000000000331e-04
1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00
