NACA 63-221

1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00
9.968347800000000314e-01 4.026799999999999867e-04
9.924273200000000017e-01 9.391900000000000118e-04
9.867935599999999585e-01 1.650360000000000021e-03
9.799508300000000505e-01 2.562580000000000066e-03
9.719191000000000358e-01 3.697220000000000194e-03
9.627215099999999470e-01 5.074880000000000363e-03
9.523845899999999753e-01 6.717080000000000273e-03
9.409387599999999852e-01 8.649010000000000378e-03
9.284148199999999740e-01 1.087952000000000016e-02
9.148479099999999864e-01 1.342547000000000011e-02
9.002765900000000432e-01 1.630565000000000139e-02
8.847351199999999860e-01 1.950348999999999833e-02
8.682640099999999750e-01 2.302202000000000068e-02
8.509055599999999497e-01 2.686097999999999958e-02
8.326982499999999732e-01 3.099309000000000092e-02
8.136876699999999740e-01 3.541400000000000103e-02
7.939166699999999910e-01 4.009888999999999815e-02
7.734302600000000361e-01 4.502454000000000178e-02
7.522702599999999684e-01 5.014762999999999860e-02
7.304795099999999985e-01 5.542253999999999931e-02
7.081022900000000231e-01 6.080296000000000312e-02
6.851819999999999578e-01 6.623189999999999633e-02
6.617670799999999520e-01 7.166662000000000032e-02
6.379030399999999768e-01 7.704418999999999851e-02
6.136383199999999594e-01 8.230606999999999507e-02
5.890202399999999727e-01 8.737873000000000168e-02
5.641019600000000134e-01 9.220501999999999865e-02
5.389399999999999746e-01 9.673487999999999531e-02
5.135915599999999470e-01 1.009110399999999935e-01
4.881157300000000254e-01 1.046725000000000017e-01
4.625738099999999742e-01 1.079548399999999964e-01
4.370300999999999769e-01 1.106917000000000040e-01
4.115540799999999888e-01 1.128365999999999952e-01
3.862165300000000023e-01 1.143200000000000049e-01
3.610940499999999997e-01 1.150998399999999949e-01
3.362662100000000098e-01 1.151700799999999941e-01
3.118132900000000207e-01 1.145158700000000057e-01
2.878144699999999889e-01 1.131692599999999937e-01
2.643441999999999736e-01 1.111873099999999975e-01
2.414729200000000076e-01 1.086249900000000046e-01
2.192647000000000068e-01 1.055542299999999989e-01
1.977873199999999887e-01 1.019924499999999984e-01
1.771062800000000048e-01 9.796467000000000369e-02
1.572821399999999870e-01 9.351325000000000609e-02
1.383757200000000076e-01 8.866859000000000546e-02
1.204402599999999934e-01 8.348448999999999454e-02
1.035315799999999981e-01 7.799602999999999398e-02
8.770732000000000528e-02 7.223058000000000256e-02
7.302200000000000357e-02 6.622464000000000128e-02
5.953941000000000094e-02 5.999564000000000286e-02
