NACA 0012-34

1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 1.199999999999999895e-03
9.499999999999999556e-01 1.026999999999999962e-02
9.000000000000000222e-01 1.866999999999999910e-02
8.000000000000000444e-01 3.320000000000000034e-02
6.999999999999999556e-01 4.479999999999999954e-02
5.999999999999999778e-01 5.319999999999999729e-02
5.000000000000000000e-01 5.827000000000000235e-02
4.000000000000000222e-01 5.999999999999999778e-02
2.999999999999999889e-01 5.800000000000000294e-02
2.000000000000000111e-01 5.093000000000000305e-02
1.499999999999999944e-01 4.492999999999999772e-02
1.000000000000000056e-01 3.652999999999999997e-02
7.499999999999999722e-02 3.132999999999999674e-02
5.000000000000000278e-02 2.493000000000000077e-02
2.500000000000000139e-02 1.679999999999999896e-02
1.250000000000000069e-02 1.132999999999999979e-02
0.000000000000000000e+00 0.000000000000000000e+00
1.250000000000000069e-02 -1.132999999999999979e-02
2.500000000000000139e-02 -1.679999999999999896e-02
5.000000000000000278e-02 -2.493000000000000077e-02
7.499999999999999722e-02 -3.132999999999999674e-02
1.000000000000000056e-01 -3.652999999999999997e-02
1.499999999999999944e-01 -4.492999999999999772e-02
2.000000000000000111e-01 -5.093000000000000305e-02
2.999999999999999889e-01 -5.800000000000000294e-02
4.000000000000000222e-01 -5.999999999999999778e-02
5.000000000000000000e-01 -5.827000000000000235e-02
5.999999999999999778e-01 -5.319999999999999729e-02
6.999999999999999556e-01 -4.479999999999999954e-02
8.000000000000000444e-01 -3.320000000000000034e-02
9.000000000000000222e-01 -1.866999999999999910e-02
9.499999999999999556e-01 -1.026999999999999962e-02
1.000000000000000000e+00 -1.199999999999999895e-03
1.000000000000000000e+00 0.000000000000000000e+00
