NN7 MK20

1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00
9.989299999999999846e-01 2.900000000000000017e-04
9.957200000000000495e-01 1.149999999999999981e-03
9.903899999999999926e-01 2.579999999999999828e-03
9.829599999999999449e-01 4.559999999999999817e-03
9.734699999999999465e-01 7.040000000000000251e-03
9.619400000000000173e-01 9.939999999999999183e-03
9.484399999999999498e-01 1.323000000000000044e-02
9.330100000000000060e-01 1.691000000000000142e-02
9.157300000000000439e-01 2.104999999999999927e-02
8.966800000000000326e-01 2.572999999999999940e-02
8.759200000000000319e-01 3.092999999999999916e-02
8.535500000000000309e-01 3.654000000000000303e-02
8.296700000000000186e-01 4.241000000000000325e-02
8.043799999999999839e-01 4.850999999999999757e-02
7.777899999999999814e-01 5.489999999999999741e-02
7.500000000000000000e-01 6.158999999999999891e-02
7.211400000000000032e-01 6.845999999999999308e-02
6.913399999999999546e-01 7.531000000000000194e-02
6.607199999999999740e-01 8.197999999999999732e-02
6.294100000000000250e-01 8.834000000000000186e-02
5.975500000000000256e-01 9.425999999999999657e-02
5.652599999999999847e-01 9.959999999999999409e-02
5.326999999999999513e-01 1.042000000000000010e-01
5.000000000000000000e-01 1.079200000000000020e-01
4.672999999999999932e-01 1.106800000000000006e-01
4.347400000000000153e-01 1.124900000000000067e-01
4.024499999999999744e-01 1.134200000000000069e-01
3.705899999999999750e-01 1.134600000000000053e-01
3.392800000000000260e-01 1.126000000000000056e-01
3.086599999999999899e-01 1.107999999999999957e-01
2.788599999999999968e-01 1.081000000000000016e-01
2.500000000000000000e-01 1.045600000000000002e-01
2.222099999999999909e-01 1.003300000000000025e-01
1.956199999999999883e-01 9.549000000000000543e-02
1.703300000000000092e-01 9.012000000000000566e-02
1.464499999999999968e-01 8.422000000000000319e-02
1.240799999999999959e-01 7.784000000000000641e-02
1.033199999999999952e-01 7.101999999999999980e-02
8.426999999999999769e-02 6.385000000000000397e-02
6.698999999999999400e-02 5.641999999999999793e-02
5.156000000000000166e-02 4.889999999999999902e-02
3.805999999999999661e-02 4.132999999999999868e-02
2.653000000000000150e-02 3.368999999999999773e-02
1.703999999999999959e-02 2.605000000000000024e-02
9.610000000000000486e-03 1.833999999999999866e-02
4.279999999999999950e-03 1.099999999999999936e-02
1.069999999999999988e-03 4.870000000000000197e-03
0.000000000000000000e+00 0.000000000000000000e+00
1.069999999999999988e-03 -4.009999999999999676e-03
4.279999999999999950e-03 -7.919999999999999957e-03
9.610000000000000486e-03 -1.201999999999999943e-02
1.703999999999999959e-02 -1.594999999999999890e-02
2.653000000000000150e-02 -1.977999999999999897e-02
3.805999999999999661e-02 -2.366000000000000048e-02
5.156000000000000166e-02 -2.751999999999999932e-02
6.698999999999999400e-02 -3.122000000000000122e-02
8.426999999999999769e-02 -3.465000000000000024e-02
1.033199999999999952e-01 -3.790000000000000313e-02
1.240799999999999959e-01 -4.111999999999999683e-02
1.464499999999999968e-01 -4.427999999999999992e-02
1.703300000000000092e-01 -4.716000000000000053e-02
1.956199999999999883e-01 -4.957000000000000295e-02
2.222099999999999909e-01 -5.152000000000000329e-02
2.500000000000000000e-01 -5.310000000000000137e-02
2.788599999999999968e-01 -5.437000000000000166e-02
3.086599999999999899e-01 -5.521000000000000213e-02
3.392800000000000260e-01 -5.546000000000000235e-02
3.705899999999999750e-01 -5.510999999999999927e-02
4.024499999999999744e-01 -5.426999999999999880e-02
4.347400000000000153e-01 -5.290999999999999870e-02
4.672999999999999932e-01 -5.084000000000000324e-02
5.000000000000000000e-01 -4.785999999999999976e-02
5.326999999999999513e-01 -4.390000000000000152e-02
5.652599999999999847e-01 -3.907999999999999668e-02
5.975500000000000256e-01 -3.361000000000000099e-02
6.294100000000000250e-01 -2.770999999999999852e-02
6.607199999999999740e-01 -2.161000000000000074e-02
6.913399999999999546e-01 -1.558000000000000010e-02
7.211400000000000032e-01 -9.960000000000000103e-03
7.500000000000000000e-01 -5.150000000000000064e-03
7.777899999999999814e-01 -1.449999999999999900e-03
8.043799999999999839e-01 1.090000000000000040e-03
8.296700000000000186e-01 2.639999999999999986e-03
8.535500000000000309e-01 3.399999999999999811e-03
8.759200000000000319e-01 3.569999999999999823e-03
8.966800000000000326e-01 3.310000000000000008e-03
9.157300000000000439e-01 2.830000000000000050e-03
9.330100000000000060e-01 2.320000000000000014e-03
9.484399999999999498e-01 1.860000000000000108e-03
9.619400000000000173e-01 1.459999999999999926e-03
9.734699999999999465e-01 1.069999999999999988e-03
9.829599999999999449e-01 7.100000000000000191e-04
9.903899999999999926e-01 4.000000000000000192e-04
9.957200000000000495e-01 1.800000000000000113e-04
9.989299999999999846e-01 4.000000000000000327e-05
1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00
