OAF128 AIRFOIL

1.000000000000000000e+00 -4.874999999999996524e-04
1.000000000000000000e+00 4.839000000000000419e-03
9.990130000000000399e-01 4.871000000000000330e-03
9.960569999999999702e-01 4.970999999999999724e-03
9.911440000000000250e-01 5.155999999999999993e-03
9.842919999999999447e-01 5.449999999999999983e-03
9.755279999999999507e-01 5.884000000000000341e-03
9.648879999999999679e-01 6.491000000000000242e-03
9.524139999999999828e-01 7.304999999999999861e-03
9.381530000000000147e-01 8.356000000000000580e-03
9.221639999999999837e-01 9.664999999999999980e-03
9.045079999999999787e-01 1.124799999999999932e-02
8.852569999999999606e-01 1.310900000000000086e-02
8.644840000000000302e-01 1.524299999999999961e-02
8.422739999999999672e-01 1.763699999999999990e-02
8.187119999999999953e-01 2.026800000000000129e-02
7.938929999999999598e-01 2.311300000000000160e-02
7.679129999999999567e-01 2.614000000000000004e-02
7.408770000000000078e-01 2.931999999999999884e-02
7.128900000000000237e-01 3.262299999999999922e-02
6.840619999999999479e-01 3.602000000000000340e-02
6.545079999999999787e-01 3.948299999999999726e-02
6.243450000000000388e-01 4.298400000000000137e-02
5.936909999999999688e-01 4.649500000000000161e-02
5.626670000000000282e-01 4.998199999999999865e-02
5.313949999999999507e-01 5.340799999999999714e-02
5.000000000000000000e-01 5.672900000000000165e-02
4.686049999999999938e-01 5.989400000000000279e-02
4.373330000000000273e-01 6.284399999999999709e-02
4.063089999999999757e-01 6.551200000000000079e-02
3.756550000000000167e-01 6.782900000000000040e-02
3.454920000000000213e-01 6.972200000000000619e-02
3.159379999999999966e-01 7.112200000000000466e-02
2.871099999999999763e-01 7.196900000000000519e-02
2.591229999999999922e-01 7.225700000000000178e-02
2.320869999999999878e-01 7.185500000000000220e-02
2.061070000000000124e-01 7.086800000000000044e-02
1.812880000000000047e-01 6.943599999999999772e-02
1.577260000000000051e-01 6.739799999999999958e-02
1.355159999999999976e-01 6.467399999999999538e-02
1.147429999999999978e-01 6.132800000000000057e-02
9.549199999999999355e-02 5.749800000000000050e-02
7.783600000000000241e-02 5.330000000000000016e-02
6.184699999999999920e-02 4.876799999999999885e-02
4.758600000000000330e-02 4.386099999999999721e-02
3.511199999999999738e-02 3.850399999999999656e-02
2.447200000000000070e-02 3.265799999999999953e-02
1.570799999999999974e-02 2.635900000000000049e-02
8.855999999999999289e-03 1.974199999999999913e-02
3.943000000000000324e-03 1.300800000000000047e-02
9.870000000000000301e-04 6.372000000000000060e-03
0.000000000000000000e+00 0.000000000000000000e+00
9.870000000000000301e-04 -7.369999999999999815e-03
3.943000000000000324e-03 -1.363699999999999982e-02
8.855999999999999289e-03 -1.907299999999999968e-02
1.570799999999999974e-02 -2.401599999999999915e-02
2.447200000000000070e-02 -2.873600000000000113e-02
3.511199999999999738e-02 -3.334600000000000064e-02
4.758600000000000330e-02 -3.778200000000000308e-02
6.184699999999999920e-02 -4.187099999999999850e-02
7.783600000000000241e-02 -4.544999999999999735e-02
9.549199999999999355e-02 -4.846799999999999720e-02
1.147429999999999978e-01 -5.099299999999999666e-02
1.355159999999999976e-01 -5.309599999999999737e-02
1.577260000000000051e-01 -5.468300000000000244e-02
1.812880000000000047e-01 -5.551999999999999991e-02
2.061070000000000124e-01 -5.586499999999999799e-02
2.320869999999999878e-01 -5.600200000000000317e-02
2.591229999999999922e-01 -5.543100000000000110e-02
2.871099999999999763e-01 -5.432300000000000323e-02
3.159379999999999966e-01 -5.273400000000000309e-02
3.454920000000000213e-01 -5.072999999999999732e-02
3.756550000000000167e-01 -4.838800000000000046e-02
4.063089999999999757e-01 -4.578800000000000231e-02
4.373330000000000273e-01 -4.300400000000000056e-02
4.686049999999999938e-01 -4.010799999999999782e-02
5.000000000000000000e-01 -3.715899999999999759e-02
5.313949999999999507e-01 -3.420999999999999736e-02
5.626670000000000282e-01 -3.129699999999999843e-02
5.936909999999999688e-01 -2.845100000000000059e-02
6.243450000000000388e-01 -2.569300000000000056e-02
6.545079999999999787e-01 -2.303799999999999945e-02
6.840619999999999479e-01 -2.049899999999999986e-02
7.128900000000000237e-01 -1.808900000000000091e-02
7.408770000000000078e-01 -1.582300000000000026e-02
7.679129999999999567e-01 -1.371700000000000003e-02
7.938929999999999598e-01 -1.179099999999999940e-02
8.187119999999999953e-01 -1.006699999999999956e-02
8.422739999999999672e-01 -8.564000000000000432e-03
8.644840000000000302e-01 -7.301000000000000198e-03
8.852569999999999606e-01 -6.289000000000000319e-03
9.045079999999999787e-01 -5.531999999999999591e-03
9.221639999999999837e-01 -5.021000000000000289e-03
9.381530000000000147e-01 -4.739000000000000157e-03
9.524139999999999828e-01 -4.654000000000000151e-03
9.648879999999999679e-01 -4.727000000000000299e-03
9.755279999999999507e-01 -4.910000000000000302e-03
9.842919999999999447e-01 -5.152000000000000329e-03
9.911440000000000250e-01 -5.402999999999999817e-03
9.960569999999999702e-01 -5.618999999999999863e-03
9.990130000000000399e-01 -5.762999999999999894e-03
1.000000000000000000e+00 -5.813999999999999724e-03
1.000000000000000000e+00 -4.874999999999996524e-04
