WASP (smoothed)

1.000000000000000000e+00 -4.500000000000000961e-05
1.000000000000000000e+00 6.999999999999999387e-05
9.975399999999999823e-01 1.319999999999999993e-03
9.907000000000000250e-01 3.919999999999999873e-03
9.803699999999999637e-01 6.320000000000000097e-03
9.669799999999999507e-01 8.309999999999999679e-03
9.504399999999999515e-01 1.060000000000000005e-02
9.306400000000000228e-01 1.372999999999999915e-02
9.077499999999999458e-01 1.754000000000000004e-02
8.820200000000000262e-01 2.172999999999999932e-02
8.537000000000000144e-01 2.615999999999999923e-02
8.230899999999999883e-01 3.071000000000000119e-02
7.904799999999999605e-01 3.534000000000000336e-02
7.561600000000000543e-01 4.000999999999999696e-02
7.204300000000000148e-01 4.467000000000000137e-02
6.835900000000000309e-01 4.923000000000000292e-02
6.459399999999999586e-01 5.362000000000000099e-02
6.077799999999999869e-01 5.775000000000000272e-02
5.693700000000000427e-01 6.153999999999999748e-02
5.309899999999999620e-01 6.494999999999999385e-02
4.926499999999999768e-01 6.796000000000000651e-02
4.543499999999999761e-01 7.055000000000000160e-02
4.163799999999999724e-01 7.265000000000000624e-02
3.788699999999999846e-01 7.420999999999999819e-02
3.420400000000000107e-01 7.513999999999999846e-02
3.060899999999999732e-01 7.537000000000000643e-02
2.711999999999999966e-01 7.481999999999999762e-02
2.376000000000000056e-01 7.345000000000000140e-02
2.054900000000000060e-01 7.122000000000000552e-02
1.750400000000000011e-01 6.812999999999999612e-02
1.464799999999999991e-01 6.418999999999999706e-02
1.199899999999999994e-01 5.943999999999999978e-02
9.575999999999999790e-02 5.387999999999999734e-02
7.395000000000000184e-02 4.750000000000000056e-02
5.467999999999999944e-02 4.039999999999999841e-02
3.810999999999999804e-02 3.287999999999999950e-02
2.433000000000000093e-02 2.528000000000000039e-02
1.337999999999999953e-02 1.779000000000000026e-02
5.479999999999999628e-03 1.060000000000000005e-02
9.799999999999999684e-04 3.950000000000000386e-03
0.000000000000000000e+00 -4.200000000000000174e-04
9.799999999999999684e-04 -4.340000000000000108e-03
5.479999999999999628e-03 -8.970000000000000542e-03
1.337999999999999953e-02 -1.273000000000000000e-02
2.433000000000000093e-02 -1.569999999999999868e-02
3.810999999999999804e-02 -1.798999999999999905e-02
5.467999999999999944e-02 -1.973000000000000101e-02
7.395000000000000184e-02 -2.094000000000000028e-02
9.575999999999999790e-02 -2.166999999999999829e-02
1.199899999999999994e-01 -2.196999999999999995e-02
1.464799999999999991e-01 -2.188999999999999974e-02
1.750400000000000011e-01 -2.146999999999999950e-02
2.054900000000000060e-01 -2.077000000000000027e-02
2.376000000000000056e-01 -1.984000000000000000e-02
2.711999999999999966e-01 -1.872000000000000053e-02
3.060899999999999732e-01 -1.745999999999999983e-02
3.420400000000000107e-01 -1.608000000000000054e-02
3.788699999999999846e-01 -1.461999999999999932e-02
4.163799999999999724e-01 -1.308999999999999921e-02
4.543499999999999761e-01 -1.153999999999999991e-02
4.926499999999999768e-01 -1.001999999999999939e-02
5.309899999999999620e-01 -8.559999999999999901e-03
5.693700000000000427e-01 -7.230000000000000315e-03
6.077799999999999869e-01 -6.040000000000000230e-03
6.459399999999999586e-01 -5.029999999999999749e-03
6.835900000000000309e-01 -4.199999999999999740e-03
7.204300000000000148e-01 -3.530000000000000152e-03
7.561600000000000543e-01 -2.990000000000000036e-03
7.904799999999999605e-01 -2.579999999999999828e-03
8.230899999999999883e-01 -2.309999999999999987e-03
8.537000000000000144e-01 -2.200000000000000133e-03
8.820200000000000262e-01 -2.230000000000000211e-03
9.077499999999999458e-01 -2.370000000000000145e-03
9.306400000000000228e-01 -2.579999999999999828e-03
9.504399999999999515e-01 -2.909999999999999826e-03
9.669799999999999507e-01 -3.229999999999999798e-03
9.803699999999999637e-01 -3.129999999999999970e-03
9.907000000000000250e-01 -2.249999999999999830e-03
9.975399999999999823e-01 -8.800000000000000313e-04
1.000000000000000000e+00 -1.600000000000000131e-04
1.000000000000000000e+00 -4.500000000000000961e-05
